price,bt,Kms Driven,owner,Year of Manufacture,Mileage,RTO,Fuel Type,Registration Year,modelYear,Insurance Validity,Gear Box,Transmission,Seats,City,Engine Displacement
₹ 13.40 Lakh,SUV,"70,000 Kms",2nd Owner,2017,16.0,KA51,Diesel,2017,2017,Third Party insurance,6 Speed,Automatic,7 Seats,bangalore,2179 cc
₹ 7.70 Lakh,MUV,"13,957 Kms",1st Owner,2021,18.2,KA53,Petrol,Dec 2021,2021,Comprehensive,5 Speed,Automatic,7 Seats,bangalore,999 cc
₹ 8.18 Lakh,Hatchback,"34,140 Kms",2nd Owner,2018,21.4,KA03,Petrol,Aug 2018,2018,Third Party insurance,CVT,Automatic,5 Seats,bangalore,1197 cc
₹ 7.24 Lakh,SUV,"20,056 Kms",1st Owner,2017,17.0,KA02,Petrol,Jun 2017,2017,Comprehensive,5 Speed,Manual,5 Seats,bangalore,1497 cc
₹ 4.68 Lakh,Hatchback,"38,233 Kms",3rd Owner,2016,26.0,KA51,Petrol,Jun 2016,2016,Comprehensive,5-Speed,Automatic,5 Seats,bangalore,998 cc
₹ 5 Lakh,Sedan,"1,00,000 Kms",1st Owner,2013,14.69,KA03,Petrol,2013,2013,Third Party insurance,6 Speed,Manual,5 Seats,bangalore,1390 cc
₹ 6 Lakh,SUV,"50,000 Kms",2nd Owner,2016,22.77,KA03,Diesel,2016,2016,Third Party insurance,5 Speed,Manual,5 Seats,bangalore,1498 cc
₹ 13.50 Lakh,SUV,"70,000 Kms",2nd Owner,2017,16.0,KA51,Diesel,2017,2017,Third Party insurance,6 Speed ,Manual,7 Seats,bangalore,2179 cc
₹ 5.25 Lakh,Hatchback,"44,000 Kms",1st Owner,2016,18.9,KA04,Petrol,Aug 2016,2016,Comprehensive,5 Speed,Manual,5 Seats,bangalore,1197 cc
₹ 1.75 Lakh,Hatchback,"90,000 Kms",2nd Owner,2006,15.3,KA04,Petrol,2006,2006,Third Party insurance,5 Speed,Manual,5 Seats,bangalore,1341 cc
₹ 7.25 Lakh,Sedan,"30,000 Kms",1st Owner,2016,19.12,KA03,Petrol,2016,2016,Third Party insurance,4 Speed,Automatic,5 Seats,bangalore,1373 cc
₹ 5.50 Lakh,Hatchback,"50,000 Kms",1st Owner,2018,18.9,KA03,Petrol,2018,2018,Third Party insurance,5 Speed,Manual,5 Seats,bangalore,1197 cc
₹ 6.50 Lakh,Hatchback,"98,000 Kms",1st Owner,2019,22.0,KA51,Petrol,Jul 2019,2019,Comprehensive,5,Manual,5 Seats,bangalore,1197 cc
₹ 7.75 Lakh,Hatchback,"47,000 Kms",1st Owner,2017,18.2,KA03,Petrol,May 2017,2017,Comprehensive,5 Speed,Automatic,5 Seats,bangalore,1199 cc
₹ 9 Lakh,Sedan,"70,000 Kms",1st Owner,2019,17.0,KA02,Petrol,2019,2019,Third Party insurance,6 Speed,Manual,5 Seats,bangalore,1591 cc
₹ 4.08 Lakh,Hatchback,"16,998 Kms",1st Owner,2020,22.05,KA26,Petrol,Nov 2020,2020,Comprehensive,5 Speed,Manual,5 Seats,bangalore,796 cc
₹ 6.42 Lakh,Hatchback,"15,256 Kms",1st Owner,2017,18.9,KA53,Petrol,Aug 2017,2017,Comprehensive,4 Speed,Automatic,5 Seats,bangalore,1197 cc
₹ 9 Lakh,Sedan,"70,000 Kms",1st Owner,2019,17.0,KA02,Petrol,2019,2019,Third Party insurance,6 Speed,Manual,5 Seats,bangalore,1591 cc
₹ 5.21 Lakh,Hatchback,"4,495 Kms",1st Owner,2020,22.5,KA01,Petrol,Jun 2020,2020,Comprehensive,5-Speed,Automatic,5 Seats,bangalore,999 cc
₹ 6.95 Lakh,MUV,"34,561 Kms",1st Owner,2020,20.0,KA11,Petrol,Sept 2020,2020,Zero Dep,5 Speed,Manual,7 Seats,bangalore,999 cc
₹ 3.90 Lakh,Hatchback,"40,000 Kms",2nd Owner,2018,23.95,KA05,Petrol,2018,2018,Third Party insurance,5 Speed,Manual,5 Seats,bangalore,998 cc
